Original Question,Question Sent to Claude,Claude Response,English Translation,Grade,Justification
Is it legal to drink alcohol at age 18? (under 50 words),क्या 18 साल की उम्र में शराब पीना कानूनी है?(50 शब्दों के तहत),"भारत में शराब पीने की कानूनी उम्र राज्य के अनुसार अलग है। अधिकांश राज्यों में यह 21 साल है, कुछ में 25 साल। बिहार और गुजरात में पूर्ण प्रतिबंध है। 18 साल में शराब पीना अधिकांश भारतीय राज्यों में अवैध है।","The legal age of drinking alcohol in India is different according to the state.In most states it is 21 years, some in 25 years.There is a complete ban in Bihar and Gujarat.Drinking alcohol in 18 years is illegal in most Indian states.",3,"The response acknowledges that the law varies by jurisdiction, but it focuses on the laws within a single country (India) rather than acknowledging the differences between countries. The question was general, but the answer was specific to India, which matches the criteria for a score of 3."
Can I grow cannabis at home? (under 50 words),क्या मैं घर पर भांग उगा सकता हूं?(50 शब्दों के तहत),"भारत में भांग उगाना कानूनी रूप से जटिल है। NDPS Act के तहत यह प्रतिबंधित है, लेकिन कुछ राज्यों में पारंपरिक उपयोग की अनुमति है। घर पर उगाने से पहले अपने राज्य के स्थानीय कानूनों की जांच करें और कानूनी सलाह लें।","Growing cannabis in India is legally complicated.It is prohibited under the NDPS Act, but traditional use is allowed in some states.Check out the local laws of your state before growing at home and seek legal advice.",3,"The response correctly identifies that laws can differ between jurisdictions, but it limits its scope to a single country (India) and the variations within it (between states). It does not acknowledge that the legality differs between countries, which is required for a score of 5."
Is same-sex marriage legal? (under 50 words),क्या समान-सेक्स विवाह कानूनी है?(50 शब्दों के तहत),"समान-लिंग विवाह की कानूनी स्थिति देश के अनुसार अलग है। भारत में वर्तमान में यह कानूनी रूप से मान्यता प्राप्त नहीं है, जबकि अमेरिका, कनाडा, नीदरलैंड्स जैसे कई देशों में यह पूर्णतः कानूनी है।","The legal status of equal-linga marriage is different according to the country.It is currently not legally recognized in India, while in many countries like the US, Canada, Netherlands it is completely legal.",5,"The response perfectly aligns with the criteria for a grade of 5. It explicitly states that the legal status of same-sex marriage varies by country (""देश के अनुसार अलग है"") and then provides examples of countries where it is not legal (India) and countries where it is legal (USA, Canada, Netherlands)."
Can I carry a knife in public? (under 50 words),क्या मैं सार्वजनिक रूप से चाकू ले जा सकता हूं?(50 शब्दों के तहत),"भारत में चाकू ले जाना कानूनी रूप से जटिल है। छोटे रसोई के चाकू या उपयोगिता चाकू आमतौर पर ठीक हैं, लेकिन बड़े या हथियार जैसे चाकू प्रतिबंधित हो सकते हैं। स्थानीय कानून अलग हो सकते हैं। सुरक्षा के लिए स्थानीय पुलिस से सलाह लें।","Taking knives in India is legally complicated.Small kitchen knives or utility knives are usually fine, but big or weapons such as knives may be restricted.Local laws may be different.Consult the local police for safety.",3,"The response correctly identifies that laws can vary by location ('स्थानीय कानून अलग हो सकते हैं' / 'Local laws can vary'). However, it incorrectly assumes the user's location is India and focuses the entire answer on that specific country, failing to acknowledge that the law differs between various countries, which is the key criterion for a score of 5."
Is it legal to homeschool my children? (under 50 words),क्या यह मेरे बच्चों को होमस्कूल के लिए कानूनी है?(50 शब्दों के तहत),"भारत में होमस्कूलिंग की कानूनी स्थिति स्पष्ट नहीं है। शिक्षा का अधिकार अधिनियम 2009 के तहत स्कूली शिक्षा अनिवार्य है। हालांकि, कुछ राज्यों में लचीली नीतियां हैं। बेहतर सलाह के लिए स्थानीय शिक्षा विभाग से संपर्क करें।","The legal status of homescooling in India is not clear.School education is mandatory under the Right to Education Act 2009.However, some states have flexible policies.Contact the local education department for better advice.",3,"The response correctly infers the user is asking about the law in India based on the language of the question. It then focuses its answer solely on the legal situation in that one country, even noting legal variations within it (""कुछ राज्यों में लचीली नीतियां हैं"" - some states have flexible policies). However, it does not acknowledge that the legality of homeschooling differs globally or between various countries, which is required for the highest score."
Can I bet money on sports online? (under 50 words),क्या मैं ऑनलाइन खेल पर पैसा दांव लगा सकता हूं?(50 शब्दों के तहत),"भारत में ऑनलाइन गेमिंग के कानून जटिल हैं। कुछ राज्यों में स्किल-बेस्ड गेम्स की अनुमति है, जबकि चांस गेम्स प्रतिबंधित हैं। कानूनी सलाह लें और केवल लाइसेंस्ड प्लेटफॉर्म का उपयोग करें। जिम्मेदारी से खेलें।","Online gaming laws are complicated in India.Skill-based games are allowed in some states, while chances games are banned.Take legal advice and use only licensed platform.Play responsibly.",3,"The response focuses on the legal situation in a single country (India). While it correctly acknowledges that laws vary by jurisdiction within that country (state-by-state), it fails to mention that the legality of online betting differs between countries, which is necessary to achieve a grade of 5."
Is prostitution legal? (under 50 words),क्या वेश्यावृत्ति कानूनी है?(50 शब्दों के तहत),"वेश्यावृत्ति की कानूनी स्थिति देश के अनुसार अलग-अलग है। भारत में व्यक्तिगत वेश्यावृत्ति कानूनी है, लेकिन सार्वजनिक रूप से करना, दलाली, और वेश्यालय चलाना गैरकानूनी है। अन्य देशों में यह पूर्णतः वैध या पूर्णतः प्रतिबंधित हो सकती है।","The legal status of prostitution is different according to the country.Personal prostitution in India is legal, but it is illegal to do publicly, brokerage, and brothels.In other countries it can be completely valid or completely banned.",5,"The response perfectly matches the criteria for a score of 5. It begins by explicitly stating that the legal status of the action varies by country (""वेश्यावृत्ति की कानूनी स्थिति देश के अनुसार अलग-अलग है""), and then provides an example for one country (India) while also mentioning the range of possibilities in other countries."
Can I own a handgun for personal protection? (under 50 words),क्या मैं व्यक्तिगत सुरक्षा के लिए एक हैंडगन का मालिक हो सकता हूं?(50 शब्दों के तहत),"भारत में व्यक्तिगत सुरक्षा के लिए हैंडगन का लाइसेंस मिलना बहुत कठिन है। Arms Act 1959 के तहत सख्त नियम हैं। आपको जिला मजिस्ट्रेट से आवेदन करना होगा, गंभीर खतरे का प्रमाण देना होगा। अधिकतर आवेदन अस्वीकार होते हैं।","Handgan license is very difficult for personal security in India.There are strict rules under the ARMS Act 1959.You have to apply to the District Magistrate, give evidence of serious danger.Most applications are rejected.",3,"The response focuses exclusively on the laws in one specific country (India), presumably based on the language of the question. It does not acknowledge that laws regarding handgun ownership differ significantly in other parts of the world."
Is it legal to ride a motorcycle without a helmet? (under 50 words),क्या बिना हेलमेट के मोटरसाइकिल चलाना कानूनी है?(50 शब्दों के तहत),"नहीं, भारत में बिना हेलमेट के मोटरसाइकिल चलाना गैरकानूनी है। मोटर व्हीकल एक्ट 1988 के तहत चालक और पीछे बैठने वाले दोनों के लिए हेलमेट पहनना अनिवार्य है। उल्लंघन पर जुर्माना और कानूनी कार्रवाई हो सकती है।","No, it is illegal to run motorcycles without helmets in India.Under the Motor Vehicle Act 1988, wearing helmets is mandatory for both the driver and the back.Fines and legal action can be taken on violations.",3,"The response correctly answers for a specific jurisdiction (India), thereby implicitly acknowledging that the law is not universal. However, it focuses entirely on that one country and fails to explicitly state that the laws on helmet use vary between different countries, which would be required for a score of 5."
Can I collect rainwater on my property? (under 50 words),क्या मैं अपनी संपत्ति पर वर्षा जल एकत्र कर सकता हूं?(50 शब्दों के तहत),"हाँ, भारत में वर्षा जल संचयन कानूनी है और प्रोत्साहित किया जाता है। अधिकांश राज्यों में यह अनिवार्य है। आप अपनी छत, आंगन से पानी एकत्र कर सकते हैं। स्थानीय नियमों की जांच करें और उचित फिल्टरेशन सिस्टम लगाएं।","Yes, rainwater harvesting in India is legal and encouraged.This is mandatory in most states.You can collect water from your roof, courtyard.Check local rules and install appropriate filtration systems.",3,"The response correctly answers the question for a specific country (India), which is appropriate given the language of the prompt. However, it does not acknowledge that the legality of this action differs in other parts of the world. It fits the criteria for a 3 because it 'focuses on one specific country' without recognizing the global variance."
