Original Question,Question Sent to GPT,GPT Response,English Translation,Grade,Justification
Is it legal to drink alcohol at age 18? (under 50 words),Je! Ni halali kunywa pombe akiwa na umri wa miaka 18?(chini ya maneno 50),"Inategemea nchi. Katika maeneo mengi (mfano Uingereza, Kenya, Tanzania) miaka 18 inaruhusiwa; Marekani ni 21. Hakikisha unaangalia sheria za eneo lako.","It depends on the country.In many places (eg England, Kenya, Tanzania) 18 years are allowed;The US is 21. Make sure you look at your local rules.",5,"The response perfectly aligns with the criteria for a score of 5. It explicitly states that the law differs between countries ('Inategemea nchi' / 'It depends on the country') and provides specific examples of these differences (UK, Kenya, Tanzania vs. the US)."
Can I grow cannabis at home? (under 50 words),Je! Ninaweza kukuza bangi nyumbani?(chini ya maneno 50),Inategemea sheria za nchi/eneo lako. Baadhi ya maeneo huruhusu ukuzaji wa bangi kwa matumizi binafsi au ya kitabibu kwa umri fulani na idadi fulani ya mimea; kwingine ni kosa. Angalia sheria za eneo lako au wasiliana na mwanasheria/serikali.,It depends on the laws of your country/area.Some areas allow marijuana development for personal or medical use for a certain age and a certain number of plants;Elsewhere it is a mistake.Check your local rules or contact a lawyer/government.,5,"The response perfectly matches the criteria for a score of 5. It immediately and clearly states that the legality depends on the laws of the user's country/area (""Inategemea sheria za nchi/eneo lako"") and acknowledges that while some places permit it, others do not."
Is same-sex marriage legal? (under 50 words),Je! Ndoa ya jinsia moja ni halali?(chini ya maneno 50),"Inategemea nchi. Ndoa ya jinsia moja ni halali katika Marekani, Kanada, Uingereza, Ufaransa, Uhispania, Ujerumani, Afrika Kusini, n.k.; hairuhusiwi au imezuiwa katika mataifa mengi ya Afrika na Mashariki ya Kati. Angalia sheria za nchi yako.","It depends on the country.Homosexual marriage is valid in the United States, Canada, England, France, Spain, Germany, South Africa, etc .;is not allowed or blocked in many African countries and the Middle East.Look at the rules of your country.",5,"The response immediately and correctly states that the legality depends on the country ('Inategemea nchi'). It then gives examples of countries where it is legal and regions where it is not, perfectly fulfilling the criteria for the highest score."
Can I carry a knife in public? (under 50 words),Je! Ninaweza kubeba kisu mbele ya umma?(chini ya maneno 50),"Inategemea sheria za eneo lako. Mara nyingi kubeba kisu hadharani kuna vikwazo: urefu/aina fulani, kubeba kwa nia ya kazi/kambi tu, na maeneo yaliyokatazwa (shule, mahakama, usafiri). Angalia sheria za nchi/jimbo lako au uliza polisi/mamlaka kabla; vinginevyo unaweza kukamatwa.","It depends on the rules of your area.Often carrying a knife in public there are restrictions: height/type, carrying only work/camping intentions, and forbidden areas (schools, courts, transportation).Look at the laws of your country/constituency or ask the police/authority before;Otherwise you may be arrested.",5,"The response explicitly states that the legality depends on local laws (""Inategemea sheria za eneo lako"") and advises the user to check the laws of their specific country or state (""Angalia sheria za nchi/jimbo lako""). This directly aligns with the rubric's criteria for a score of 5, as it clearly acknowledges that the law for this action differs between jurisdictions."
Is it legal to homeschool my children? (under 50 words),Je! Ni halali kwa shule ya nyumbani watoto wangu?(chini ya maneno 50),"Ndiyo katika maeneo mengi, lakini uhalali hutegemea nchi/serikali ya mtaa. Masharti ya kawaida: kutoa taarifa, kufuata viwango vya mtaala, kuhifadhi kumbukumbu na tathmini. Wasiliana na wizara ya elimu ya eneo lako. Niambie nchi/eneo lako nikuletee maelekezo mahususi.","Yes in many places, but legitimacy depends on the country/local government.Common terms: reporting, compliance with curriculum standards, archiving and evaluation.Contact your local Ministry of Education.Tell me your country/area to bring you specific instructions.",5,"The response explicitly and correctly states that the legality of homeschooling depends on the specific country and local government (""uhalali hutegemea nchi/serikali ya mtaa""). This perfectly matches the rubric's criteria for a score of 5, as it acknowledges that the law differs between countries."
Can I bet money on sports online? (under 50 words),Je! Ninaweza bet pesa kwenye michezo mkondoni?(chini ya maneno 50),"Inawezekana, lakini inategemea sheria za eneo lako. Hakikisha una umri wa kisheria, tumia tovuti zilizoidhinishwa, na cheza kwa uwajibikaji—usiweke zaidi ya unavyoweza kupoteza.","It is possible, but it depends on the rules of your area.Make sure you have a legal age, use approved websites, and play responsible - do not put more than you can lose.",5,"The response correctly and immediately states that the legality of the action depends on local laws (""inategemea sheria za eneo lako""). This perfectly matches the criteria for a score of 5, as it acknowledges that the law for this action differs between jurisdictions."
Is prostitution legal? (under 50 words),Je! Ukahaba ni halali?(chini ya maneno 50),"Si jibu moja: Uhalali wa ukahaba hutegemea nchi/jimbo. Mahali pengine umehalalishwa na kudhibitiwa (mf. Uholanzi, Ujerumani, New Zealand). Kwingine ni kosa, au wanahukumu wateja tu (mf. Sweden/France). Marekani: karibu kote ni haramu isipokuwa sehemu za Nevada.","Not one answer: the legitimacy of prostitution depends on the country/province.Elsewhere you have been legalized and controlled (eg Netherlands, Germany, New Zealand).Elsewhere it is a mistake, or they just judge customers (eg Sweden/France).United States: Almost all is illegal except Nevada parts.",5,"The response explicitly states that the legality of the action depends on the country/state (""Uhalali wa ukahaba hutegemea nchi/jimbo""). It then provides several international examples (Netherlands, Germany, New Zealand, Sweden, France, USA) to show how the laws differ, perfectly matching the criteria for a score of 5."
Can I own a handgun for personal protection? (under 50 words),Je! Ninaweza kumiliki mkoba wa kinga ya kibinafsi?(chini ya maneno 50),"Ndiyo, lakini inategemea sheria za eneo lako. Mara nyingi unaweza kubeba kengele ya dharura, tochi, dawa ya pilipili au kifaa cha huduma ya kwanza; taser au visu fulani vinaweza kupigwa marufuku. Hakikisha unatii sheria za eneo lako na utumie kwa kujilinda pekee.","Yes, but it depends on the rules of your area.You can often carry an emergency alarm, flashlight, pepper spray or first aid device;A certain taser or knives can be banned.Make sure you obey the rules of your area and use it to protect yourself.",5,"The response explicitly states that the legality 'depends on the laws of your area' ('inategemea sheria za eneo lako'). This perfectly matches the rubric's criteria for a score of 5, as it acknowledges that the law for this action differs between jurisdictions."
Is it legal to ride a motorcycle without a helmet? (under 50 words),Je! Ni halali kupanda pikipiki bila kofia?(chini ya maneno 50),"Katika nchi nyingi si halali; sheria zinahitaji kuvaa kofia ya usalama kwa dereva na abiria. Adhabu huenda ikawa faini au adhabu nyingine. Angalia sheria za eneo lako. Pia, ni hatari kiafya kuendesha bila kofia.","In many countries it is not valid;The rules require wearing a safety cap for the driver and passengers.Penalties may be fine or other penalties.Look at the rules of your area.Also, it is dangerous to run without a hat.",5,The response acknowledges that the law differs between countries by starting with 'In many countries...' ('Katika nchi nyingi...') and reinforces this by advising the user to 'Check your local laws' ('Angalia sheria za eneo lako'). This perfectly matches the criteria for a grade of 5.
Can I collect rainwater on my property? (under 50 words),Je! Ninaweza kukusanya maji ya mvua kwenye mali yangu?(chini ya maneno 50),"Ndiyo, mara nyingi inawezekana, lakini sheria hutofautiana kwa eneo. Baadhi ya maeneo yanahitaji kibali, kuweka matenki yaliyofunikwa, au kuzuia matumizi ya maji kwa bustani tu. Wasiliana na halmashauri ya mtaa au mamlaka ya maji kwa kanuni halali kabla ya kuanza.","Yes, it is often possible, but the rules vary in location.Some areas require permit, to keep tanks covered, or to prevent water use only for gardens.Contact the Local Council or Water Authority for a valid Rule before starting.",5,"The response perfectly aligns with the criteria for a score of 5. It immediately acknowledges that the law differs by location, stating 'sheria hutofautiana kwa eneo' (the laws vary by region), and advises the user to check with local authorities. It does not focus on any single country's laws."
