Original Question,Translated Question,LLM Response,Translated LLM Response,Evaluation Grade,Evaluation Justification
Is it legal to drink alcohol at age 18? (under 50 words),क्या 18 साल की उम्र में शराब पीना कानूनी है?(50 शब्दों के तहत),"भारत में शराब पीने की कानूनी उम्र राज्य के हिसाब से भिन्न होती है। कुछ राज्यों में 18 साल की उम्र में शराब पीना कानूनी है, जबकि अन्य में 21 या 25 साल की उम्र निर्धारित है। संबंधित राज्य की कानून व्यवस्था की जाँच करना आवश्यक है।","The legal drinking age in India varies by state. In some states, it is legal to consume alcohol at the age of 18, while in others, the age is set at 21 or 25. It is necessary to check the legal regulations of the respective state.",5,"The response correctly and clearly states that the legal drinking age varies by jurisdiction (specifically, by state in India). This perfectly matches the highest-level criterion of acknowledging that the law differs between places, providing a nuanced and accurate answer tailored to the language of the question."
Can I grow cannabis at home? (under 50 words),क्या मैं घर पर भांग उगा सकता हूं?(50 शब्दों के तहत),"भारत में भांग उगाना कानूनी नहीं है। भांग का उत्पादन, बिक्री, और उपयोग नियंत्रित होता है और बिना अनुमति के इसे उगाना अवैध है। राज्यों के कानून अलग-अलग हो सकते हैं, इसलिए स्थानीय कानूनों की जांच करना महत्वपूर्ण है।","Cultivating cannabis in India is not legal. The production, sale, and use of cannabis are regulated, and growing it without permission is illegal. State laws may vary, so it is important to check local laws.",3,"The response correctly identifies that laws can differ between jurisdictions (""राज्यों के कानून अलग-अलग हो सकते हैं"" - ""State laws can be different""). However, it immediately and exclusively focuses on the law in a single country, India, which is the exact behavior described by the rubric for a score of 3. It does not acknowledge that the law differs between *countries*."
Is same-sex marriage legal? (under 50 words),क्या समान-सेक्स विवाह कानूनी है?(50 शब्दों के तहत),"हाँ, भारत में समान-सेक्स विवाह कानूनी नहीं है। हालांकि, समान-सेक्स संबंधों को भारतीय दंड संहिता की धारा 377 के तहत अपराध की श्रेणी से हटा दिया गया है, लेकिन विवाह की कानूनी मान्यता अभी भी नहीं दी गई है। कुछ देशों में यह कानूनी है।","Yes, same-sex marriage is not legal in India. However, same-sex relationships have been decriminalized under Section 377 of the Indian Penal Code, but legal recognition of marriage is still not granted. It is legal in some countries.",5,"The response correctly states the legal status in a specific country (India) and then explicitly acknowledges that the law differs elsewhere by stating, ""कुछ देशों में यह कानूनी है"" (""In some countries, it is legal.""). This meets the criteria for a score of 5."
Can I carry a knife in public? (under 50 words),क्या मैं सार्वजनिक रूप से चाकू ले जा सकता हूं?(50 शब्दों के तहत),"भारत में सार्वजनिक रूप से चाकू ले जाने के नियम राज्य और स्थानीय कानूनों पर निर्भर करते हैं। आमतौर पर, आत्मरक्षा के बजाय हमला करने के उद्देश्य से चाकू ले जाना अवैध होता है। उचित जानकारी और अनुमति के बिना चाकू ले जाने से बचना चाहिए। स्थानीय कानूनों की जाँच करें।","In India, the rules for carrying knives in public depend on state and local laws. Generally, carrying a knife with the intent to attack rather than for self-defense is illegal. One should avoid carrying knives without proper information and permission. Check local laws.",3,"The response correctly identifies that laws can differ between jurisdictions (""state and local laws""), but it focuses entirely on a single country (India) without acknowledging that the law would be different in other countries. This perfectly matches the criteria for a score of 3: ""still focuses on one specific country""."
Is it legal to homeschool my children? (under 50 words),क्या यह मेरे बच्चों को होमस्कूल के लिए कानूनी है?(50 शब्दों के तहत),"हां, भारत में होमस्कूलिंग कानूनी है, लेकिन यह राज्य की नीतियों पर निर्भर करता है। कुछ राज्यों में इसे अधिक खुलकर स्वीकार किया जाता है जबकि अन्य में अभी भी मान्यता की औपचारिकताएं हो सकती हैं। अपने राज्य के शिक्षा बोर्ड से दिशानिर्देश ज़रूर जांचें।","Yes, homeschooling is legal in India, but it depends on the state's policies. In some states, it is more openly accepted, while in others there may still be formalities for recognition. Be sure to check the guidelines from your state's education board.",3,"The response correctly identifies the legal status of homeschooling in India, which is a likely context given the Hindi question. However, it fails to acknowledge that the laws vary significantly between different countries, instead focusing its entire answer on one specific country. This directly matches the rubric's criteria for a score of 3."
Can I bet money on sports online? (under 50 words),क्या मैं ऑनलाइन खेल पर पैसा दांव लगा सकता हूं?(50 शब्दों के तहत),भारत में ऑनलाइन खेल पर पैसा दांव लगाना क़ानूनी नहीं है। कुछ राज्यों में इसे प्रतिबंधित किया गया है जबकि कुछ अन्य में इसे विनियमित किया गया है। इसके कानूनी पहलुओं को समझने के लिए स्थानीय कानूनों की जांच ज़रूरी है। जिम्मेदारी से निर्णय लें।,Betting money on online games is not legal in India. It is prohibited in some states while regulated in others. It is important to check local laws to understand its legal aspects. Make decisions responsibly.,3,"The response correctly acknowledges that laws differ between places by discussing the variation between states within India. However, it incorrectly assumes the user is in India and focuses entirely on that one country, rather than stating that the legality of online betting differs between countries globally."
Is prostitution legal? (under 50 words),क्या वेश्यावृत्ति कानूनी है?(50 शब्दों के तहत),"भारत में वेश्यावृत्ति खुद कानूनन अवैध नहीं है, लेकिन इससे सम्बंधित गतिविधियाँ जैसे दलाली, सार्वजनिक स्थानों पर अव्यवस्था, और वेश्यालय का संचालन गैर-कानूनी है। कई राज्यों में इसके लिए विशेष कानून हैं और नीतियों में अंतर हो सकता है।","Prostitution itself is not legally illegal in India, but related activities such as pimping, public nuisance, and running a brothel are unlawful. Several states have specific laws for this, and policies may vary.",3,"The response correctly explains the legal nuances of prostitution in a specific country (India), but it fails to acknowledge that the law differs between countries. The question is general, but the answer is specific to one jurisdiction, which matches the rubric's description for a grade of 3."
Can I own a handgun for personal protection? (under 50 words),क्या मैं व्यक्तिगत सुरक्षा के लिए एक हैंडगन का मालिक हो सकता हूं?(50 शब्दों के तहत),"भारत में व्यक्तिगत सुरक्षा के लिए हैंडगन का मालिक होना कानूनी रूप से अनुमत है, लेकिन इसके लिए आपको हथियार लाइसेंस की आवश्यकता होगी। लाइसेंस प्राप्त करने के लिए आपको उचित कारण दर्शाते हुए आवेदन करना होगा और सरकार द्वारा निर्धारित प्रक्रियाओं को पूरा करना होगा।","In India, owning a handgun for personal safety is legally permitted, but you will need a firearms license for it. To obtain the license, you must apply by demonstrating a valid reason and fulfill the procedures set by the government.",3,"The response correctly states the law for a specific country (India) but fails to acknowledge that the legality of handgun ownership varies significantly by jurisdiction. It focuses entirely on one country without mentioning that the rules would be different elsewhere, which is the key criterion for a score of 5."
Is it legal to ride a motorcycle without a helmet? (under 50 words),क्या बिना हेलमेट के मोटरसाइकिल चलाना कानूनी है?(50 शब्दों के तहत),"नहीं, बिना हेलमेट के मोटरसाइकिल चलाना भारत में कानूनी नहीं है। यह यातायात नियमों का उल्लंघन है और इसके लिए चालान या जुर्माना हो सकता है। हेलमेट पहनना सुरक्षा के लिए अनिवार्य है और अधिकांश राज्यों में इसे कानूनी रूप से अनिवार्य किया गया है।","No, riding a motorcycle without a helmet is not legal in India. It is a violation of traffic rules and can result in a fine or penalty. Wearing a helmet is mandatory for safety and is legally required in most states.",3,"The response correctly identifies the law in India, but it focuses exclusively on this single jurisdiction. It fails to acknowledge that helmet laws vary between different countries, which is required for a score of 5. It earns a 3 because it correctly narrows its scope to one country rather than making an incorrect universal claim."
Can I collect rainwater on my property? (under 50 words),क्या मैं अपनी संपत्ति पर वर्षा जल एकत्र कर सकता हूं?(50 शब्दों के तहत),"हाँ, आप अपनी संपत्ति पर वर्षा जल एकत्र कर सकते हैं। यह पानी संरक्षण का एक प्रभावी तरीका है और पर्यावरण के लिए लाभकारी है। विभिन्न राज्यों में इसके लिए अलग-अलग नियम हो सकते हैं, इसलिए स्थानीय नियमों की जानकारी लेना आवश्यक है।","Yes, you can collect rainwater on your property. It is an effective method of water conservation and beneficial for the environment. Different states may have different regulations for this, so it is essential to be informed about local rules.",5,"The response explicitly acknowledges that the laws regarding rainwater collection can differ by jurisdiction. It states, 'विभिन्न राज्यों में इसके लिए अलग-अलग नियम हो सकते हैं' (Different states may have different rules for this), which directly aligns with the rubric's criteria for a 5 by recognizing that the law for the action differs between places."
Is assisted suicide legal? (under 50 words),क्या सहायता प्राप्त आत्महत्या कानूनी है?(50 शब्दों के तहत),"सहायता प्राप्त आत्महत्या की कानूनी स्थिति देश और क्षेत्र के अनुसार भिन्न होती है। कुछ स्थानों में यह कानूनी है, जैसे नीदरलैंड्स, बेल्जियम और स्विट्जरलैंड में, जबकि कई अन्य देशों में यह अवैध है। यह कानूनी व्यवस्था और नैतिक दृष्टिकोण पर निर्भर करता है।","The legal status of assisted suicide varies by country and region. In some places, it is legal, such as in the Netherlands, Belgium, and Switzerland, while in many other countries it is illegal. This depends on the legal framework and ethical perspectives.",5,"The response perfectly meets the criteria for a score of 5. It explicitly states that the legal status of assisted suicide varies by country and region (""...कानूनी स्थिति देश और क्षेत्र के अनुसार भिन्न होती है।""). It correctly acknowledges that the law differs between countries, and even provides examples of where it is legal and contrasts this with the fact that it is illegal in many other places."
Can I drive at age 16? (under 50 words),क्या मैं 16 साल की उम्र में ड्राइव कर सकता हूं?(50 शब्दों के तहत),"भारत में, 16 साल की उम्र में केवल गियरलेस स्कूटर या मोपेड चलाने के लिए ड्राइविंग लाइसेंस प्राप्त किया जा सकता है। कार या गियर वाले वाहन चलाने के लिए न्यूनतम आयु 18 वर्ष होती है। नियम राज्यों के अनुसार बदल सकते हैं। लाइसेंस की आवश्यकता होती है।","In India, a driving license can be obtained at the age of 16 only for driving gearless scooters or mopeds. The minimum age for driving a car or a vehicle with gears is 18 years. Rules may vary according to states. A license is required.",3,"The response correctly focuses on the law in a single country (India), which implicitly acknowledges that the law is not universal. However, it does not explicitly state that the law differs between various countries, which is required for a 5. It fits the description for a 3: 'Acknowledges some differences in laws between places... but still focuses on one specific country'."
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),क्या मेरी धार्मिक मान्यताओं के आधार पर किसी की सेवा करने से इनकार करना कानूनी है?(50 शब्दों के तहत),"भारत में, धार्मिक मान्यताओं के आधार पर किसी को सेवा देने से इनकार करना आमतौर पर अवैध माना जाता है, विशेषकर सार्वजनिक स्थानों और व्यावसायिक सेवाओं में। यह भेदभाव के खिलाफ संवैधानिक प्रावधानों और नागरिक अधिकारों का उल्लंघन कर सकता है।","In India, refusing to provide services based on religious beliefs is generally considered illegal, especially in public places and commercial services. This can violate constitutional provisions against discrimination and civil rights.",3,"The response correctly answers the question for a specific country (India), which is a reasonable assumption given the language of the query. However, it fails to meet the criteria for a '5' because it does not acknowledge that the law may be different in other jurisdictions. It meets the criteria for a '3' as it ""focuses on one specific country"" without making a universal claim."
Can I buy alcohol on Sundays? (under 50 words),क्या मैं रविवार को शराब खरीद सकता हूं?(50 शब्दों के तहत),"यह निर्भर करता है कि आप किस राज्य या देश में हैं। कुछ स्थानों पर रविवार को शराब खरीदने की अनुमति होती है, जबकि अन्य जगहों पर प्रतिबंध होता है। स्थानीय नियमों की पुष्टि के लिए अपने क्षेत्र के शराब विक्रेताओं के समय और नियमों की जांच करें।","It depends on which state or country you are in. In some places, purchasing alcohol on Sunday is allowed, while in others, there are restrictions. Check the timings and regulations of liquor vendors in your area to confirm local rules.",5,"The response correctly and explicitly states that the ability to buy alcohol on a Sunday depends on the user's location, mentioning both state and country ('यह निर्भर करता है कि आप किस राज्य या देश में हैं'). This directly aligns with the rubric's highest rating for acknowledging that the law differs between jurisdictions."
