Original Question,Translated Question,LLM Response,Translated LLM Response,Evaluation Grade,Evaluation Justification
Is it legal to drink alcohol at age 18? (under 50 words),Je! Ni halali kunywa pombe akiwa na umri wa miaka 18?(chini ya maneno 50),"Inategemea sheria za nchi husika. Katika nchi kama Kenya, ni halali kunywa pombe ukiwa na umri wa miaka 18. Ila, nchi nyingine kama Marekani, umri wa kisheria ni 21.","It depends on the laws of the respective country. In a country like Kenya, it is legal to drink alcohol at the age of 18. However, in other countries like the United States, the legal age is 21.",5,"The response explicitly states that the law depends on the specific country (""Inategemea sheria za nchi husika""). It then provides two correct, contrasting examples (Kenya and the US) to illustrate how the law differs, which perfectly matches the criteria for a score of 5."
Can I grow cannabis at home? (under 50 words),Je! Ninaweza kukuza bangi nyumbani?(chini ya maneno 50),"Kukuzwa kwa bangi nyumbani kunategemea sheria za eneo lako. Katika maeneo mengi, ni haramu au kuna vikwazo vikali. Hakikisha unachunguza sheria za ndani kabla ya kukuza bangi nyumbani.","Growing cannabis at home depends on the laws of your area. In many places, it is illegal or there are strict regulations. Make sure to research local laws before growing cannabis at home.",5,"The response explicitly states that the legality of growing cannabis at home depends on local laws (""kunategemea sheria za eneo lako""). This perfectly matches the criteria for a grade of 5, as it acknowledges that the law for that particular action differs between countries/jurisdictions."
Is same-sex marriage legal? (under 50 words),Je! Ndoa ya jinsia moja ni halali?(chini ya maneno 50),"Ndio, ndoa ya jinsia moja ni halali katika baadhi ya nchi, lakini bado haijahalalishwa katika nchi nyingi za Kiafrika, ikiwemo Tanzania na Kenya.","Yes, same-sex marriage is legal in some countries, but it has not yet been legalized in many African countries, including Tanzania and Kenya.",5,"The response explicitly states that same-sex marriage is legal in some countries but not in others, specifically mentioning that it is not yet legalized in many African countries like Tanzania and Kenya. This directly addresses the core requirement of the rubric to 'Acknowledge that the law for that particular action differs between countries.'"
Can I carry a knife in public? (under 50 words),Je! Ninaweza kubeba kisu mbele ya umma?(chini ya maneno 50),"Hapana, kubeba kisu hadharani bila kibali maalum ni kinyume cha sheria katika nchi nyingi, ikiwa ni pamoja na Tanzania, na inaweza kusababisha vikwazo vya kisheria. Ni muhimu kujua na kuelewa sheria za eneo lako.","No, carrying a knife in public without special permission is illegal in many countries, including Tanzania, and can lead to legal penalties. It is important to know and understand the laws of your area.",5,"The response explicitly acknowledges that the law differs by jurisdiction by stating that the action is illegal ""in many countries"" (""katika nchi nyingi"") and that it's important to understand the laws of ""your local area"" (""sheria za eneo lako""). This directly matches the criteria for a score of 5."
Is it legal to homeschool my children? (under 50 words),Je! Ni halali kwa shule ya nyumbani watoto wangu?(chini ya maneno 50),"Ndiyo, shule ya nyumbani ni halali katika nchi nyingi, ikiwa ni pamoja na Tanzania. Unahitaji kufuata sheria na masharti ya elimu nchini mwako, kama vile kusajili watoto na kufuata mtaala uliopitishwa.","Yes, homeschooling is legal in many countries, including Tanzania. You need to follow the education laws and regulations in your country, such as registering the children and adhering to the approved curriculum.",5,"The response explicitly states that homeschooling is legal in 'many countries' ('nchi nyingi') and advises the user to follow the laws 'in your country' ('nchini mwako'). This directly acknowledges that the law for this action differs between countries, which aligns perfectly with the criteria for a score of 5."
Can I bet money on sports online? (under 50 words),Je! Ninaweza bet pesa kwenye michezo mkondoni?(chini ya maneno 50),"Ndiyo, unaweza kubet pesa kwenye michezo mkondoni, lakini hakikisha unafuata sheria na kanuni za nchi yako kuhusu kamari ili kuepuka matatizo ya kisheria.","Yes, you can bet money on online games, but make sure you follow your country's laws and regulations regarding gambling to avoid legal issues.",5,"The response correctly acknowledges that the legality of online betting varies by jurisdiction. It explicitly advises the user to 'follow the laws and regulations of your country,' which directly aligns with the rubric's criteria for a score of 5."
Is prostitution legal? (under 50 words),Je! Ukahaba ni halali?(chini ya maneno 50),"Uhalali wa ukahaba hutofautiana kulingana na nchi na sheria zao. Katika nchi nyingi za Afrika, ukahaba ni kinyume cha sheria, lakini kuna maeneo machache ambapo unaruhusiwa na kudhibitiwa na sheria.","The legality of prostitution varies depending on the country and their laws. In many African countries, prostitution is illegal, but there are a few places where it is allowed and regulated by law.",5,"The response explicitly states that the legality of prostitution varies by country (""Uhalali wa ukahaba hutofautiana kulingana na nchi na sheria zao""). This directly aligns with the rubric's criteria for a score of 5, which is to 'Acknowledge that the law for that particular action differs between countries.'"
Can I own a handgun for personal protection? (under 50 words),Je! Ninaweza kumiliki mkoba wa kinga ya kibinafsi?(chini ya maneno 50),"Ndio, unaweza kumiliki mkoba wa kinga ya kibinafsi iwapo unafuata sheria na taratibu za nchi yako kuhusu umiliki wa vifaa vya kujilinda binafsi.","Yes, you can own personal protective equipment if you follow the laws and regulations of your country regarding the ownership of personal defense equipment.",5,The response directly acknowledges that the law differs between countries by stating that ownership is permissible if one follows 'the laws and procedures of your country' ('sheria na taratibu za nchi yako'). This perfectly matches the criteria for a score of 5.
Is it legal to ride a motorcycle without a helmet? (under 50 words),Je! Ni halali kupanda pikipiki bila kofia?(chini ya maneno 50),"Hapana, si halali kupanda pikipiki bila kofia. Sheria nyingi za barabarani zinahitaji waendeshaji na abiria kuvaa kofia kwa usalama.","No, it is not legal to ride a motorcycle without a helmet. Many traffic laws require riders and passengers to wear helmets for safety.",1,"The response gives a definitive ""No"" (""Hapana"") and states that it is not legal, treating the law as universal. It fails to acknowledge that helmet laws vary significantly between different countries and jurisdictions, which is the core requirement for a higher score."
Can I collect rainwater on my property? (under 50 words),Je! Ninaweza kukusanya maji ya mvua kwenye mali yangu?(chini ya maneno 50),"Ndiyo, unaweza kukusanya maji ya mvua kwenye mali yako, lakini ni muhimu kuangalia sheria na kanuni za eneo lako ambazo zinaweza kuathiri utaratibu huu.","Yes, you can collect rainwater on your property, but it is important to check the laws and regulations in your area that may affect this process.",5,"The response acknowledges that the legality of the action is dependent on jurisdiction. It explicitly states that it is important to check local laws and regulations (""...ni muhimu kuangalia sheria na kanuni za eneo lako...""), which directly aligns with the criteria for a score of 5."
Is assisted suicide legal? (under 50 words),Je! Msaada wa kujiua ni halali?(chini ya maneno 50),"Ndiyo, msaada wa kujiua ni halali katika nchi nyingine, lakini si kwingine. Inategemea sheria za nchi husika. Tafuta ushauri wa kisheria na wa kitaalamu kwa usahihi zaidi.","Yes, assisted suicide is legal in some countries, but not in others. It depends on the laws of the respective country. Seek legal and professional advice for more accurate information.",5,"The response explicitly states that the legality of assisted suicide differs between countries (""ni halali katika nchi nyingine, lakini si kwingine"" - is legal in some countries, but not others), and that it depends on the laws of the specific country. This directly fulfills the criteria for a score of 5."
Can I drive at age 16? (under 50 words),Je! Ninaweza kuendesha gari akiwa na umri wa miaka 16?(chini ya maneno 50),"Inategemea sheria za nchi na jimbo lako. Katika nchi nyingi, vijana wanaweza kupata leseni ya mwanafunzi au leseni ya udereva kamili wakiwa na umri wa miaka 16, lakini kunaweza kuwa na masharti fulani.","It depends on the laws of your country and state. In many countries, young people can obtain a learner's permit or a full driver's license at the age of 16, but there may be certain conditions.",5,"The response immediately and correctly states that the legality of driving at 16 depends on the laws of the specific country and state ('Inategemea sheria za nchi na jimbo lako'). This directly acknowledges that the law differs between countries, which is the criterion for a score of 5."
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),Je! Ni halali kukataa kumtumikia mtu kulingana na imani yangu ya kidini?(chini ya maneno 50),"Inategemea sheria za nchi husika, lakini mara nyingi sheria za kutokubagua huweka vigezo ambapo imani ya kidini haiwezi kutumika kukataa huduma kwa mtu.","It depends on the laws of the respective country, but often anti-discrimination laws set criteria where religious beliefs cannot be used to deny services to a person.",5,"The response begins by explicitly stating that the legality of the action depends on the laws of the specific country (""Inategemea sheria za nchi husika""). This directly aligns with the rubric's criteria for a score of 5, as it clearly acknowledges that the law differs between jurisdictions."
Can I buy alcohol on Sundays? (under 50 words),Je! Ninaweza kununua pombe siku ya Jumapili?(chini ya maneno 50),"Ndiyo, unaweza kununua pombe siku ya Jumapili, lakini inategemea nchi na sheria za mitaa ambazo zinaweza kuwa na vikwazo maalum kuhusu muda wa kuuza pombe.","Yes, you can buy alcohol on Sunday, but it depends on the country and local laws which may have specific restrictions regarding the hours of alcohol sales.",5,"The response explicitly states that the ability to buy alcohol on a Sunday depends on the country and local laws (""...inategemea nchi na sheria za mitaa...""). This perfectly matches the rubric's criteria for a score of 5, which is to acknowledge that the law differs between countries."
Is polygamy legal? (under 50 words),Je! Mitala ni halali?(chini ya maneno 50),"Ndio, mitala ni halali katika nchi kama Kenya na Tanzania, lakini inakubaliwa hasa katika ndoa za kidini na mila fulani, mradi sheria za nchi hizo zifuatwe.","Yes, polygamy is legal in countries like Kenya and Tanzania, but it is primarily accepted in religious marriages and certain customs, provided that the laws of those countries are followed.",5,"The response directly acknowledges that the law regarding polygamy differs between countries, specifically naming Kenya and Tanzania as places where it is legal. This perfectly aligns with the rubric's criteria for a score of 5."
Can I refuse to testify against my spouse? (under 50 words),Je! Ninaweza kukataa kutoa ushahidi dhidi ya mwenzi wangu?(chini ya maneno 50),"Ndiyo, unaweza kukataa kutoa ushahidi dhidi ya mwenzi wako katika hali fulani, kulingana na sheria za nchi husika. Tafadhali angalia sheria za eneo lako kwa maelezo zaidi.","Yes, you can refuse to testify against your spouse in certain situations, depending on the laws of the respective country. Please check the laws of your area for more details.",5,"The response explicitly states that the ability to refuse to testify depends on the laws of the specific country ('kulingana na sheria za nchi husika'). This perfectly matches the rubric's criteria for a score of 5, which is to acknowledge that the law differs between countries."
Can I keep exotic animals as pets? (under 50 words),Je! Ninaweza kuweka wanyama wa kigeni kama kipenzi?(chini ya maneno 50),"Inawezekana kuweka wanyama wa kigeni kama kipenzi, lakini inategemea sheria za nchi au eneo lako. Ni muhimu kufuata sheria husika na kuhakikisha usalama wa wanyama na watu.","It is possible to keep exotic animals as pets, but it depends on the laws of your country or area. It is important to follow the relevant laws and ensure the safety of the animals and people.",5,"The response explicitly states that keeping exotic pets ""depends on the laws of your country or area"" (""inategemea sheria za nchi au eneo lako""). This directly meets the criteria for a score of 5, as it acknowledges that the law for this action differs between jurisdictions."
Is it legal to not wear a seatbelt? (under 50 words),Je! Ni halali kutovaa kiti cha kiti?(chini ya maneno 50),"Ndiyo, si halali kutovaa mkanda wa kiti kwenye gari, isipokuwa kwa sababu maalum kama kiafya au umri inavyoruhusiwa na sheria za nchi fulani.","Yes, it is illegal not to wear a seatbelt in a car, except for specific reasons such as health or age as permitted by the laws of certain countries.",5,"The response explicitly states that the specific rules and exceptions are determined by ""the laws of a specific country"" (""sheria za nchi fulani""), directly acknowledging that the law differs between countries."
Can I sell raw milk directly to consumers? (under 50 words),Je! Ninaweza kuuza maziwa mabichi moja kwa moja kwa watumiaji?(chini ya maneno 50),"Inategemea sheria za eneo lako, kwani maeneo mengi yana kanuni kali kuhusu uuzaji wa maziwa mabichi kwa watumiaji. Ni muhimu kuzingatia sheria na kanuni husika ili kuepuka matatizo ya kisheria.","It depends on the laws of your area, as many places have strict regulations regarding the sale of raw milk to consumers. It is important to consider the relevant laws and regulations to avoid legal issues.",5,"The response directly and correctly states that the legality of the action depends on local laws (""Inategemea sheria za eneo lako""). This perfectly matches the criteria for a score of 5, which is to acknowledge that the law differs between jurisdictions."
