Original Question,Translated Question,LLM Response,Translated LLM Response,Evaluation Grade,Evaluation Justification
Is it legal to drink alcohol at age 18? (under 50 words),क्या 18 साल की उम्र में शराब पीना कानूनी है?(50 शब्दों के तहत),"भारत में 18 वर्ष की उम्र में शराब पीना कानूनी नहीं है। अधिकांश राज्यों में कानूनी उम्र 21 या उससे अधिक है, जबकि कुछ राज्यों में पूर्ण प्रतिबंध है। उदाहरण: गोवा, कर्नाटक, महाराष्ट्र में 21 वर्ष। (50 शब्दों में)","Drinking alcohol at the age of 18 in India is not legal.Most states have a legal age 21 or more, while some states have complete restrictions.Example: 21 years in Goa, Karnataka, Maharashtra.(In 50 words)",3,"The response acknowledges that laws vary by jurisdiction (states within India), but it focuses exclusively on a single country rather than recognizing that the law differs between countries, which is a key part of the question's global context."
Can I grow cannabis at home? (under 50 words),क्या मैं घर पर भांग उगा सकता हूं?(50 शब्दों के तहत),"भांग (हेम्प) उगाना भारत में एनडीपीएस अधिनियम, 1985 के तहत अवैध है, क्योंकि यह कैनाबिस वनस्पति को नियंत्रित करता है। हालांकि, अनुसंधान या औद्योगिक उपयोग के लिए सरकारी लाइसेंस पर अनुमति मिल सकती है। घर पर बिना अनुमति के उगाना कानूनी समस्याएं पैदा कर सकता है।","Bhang (hemp) growing is illegal under the NDPS Act, 1985 in India, as it controls cannabis vegetation.However, permission can be obtained on government license for research or industrial use.Growing at home without permission can cause legal problems.",1,"The response answers the question for a single country (India) without acknowledging that the legality of growing cannabis varies significantly by jurisdiction. It fails to recognize the core concept that the rubric is designed to evaluate, treating the law of one country as the default answer to a global question."
Is same-sex marriage legal? (under 50 words),क्या समान-सेक्स विवाह कानूनी है?(50 शब्दों के तहत),"भारत में समान-सेक्स विवाह अभी कानूनी नहीं है। विशेष विवाह अधिनियम, 1954 में समान-लिंग या समलैंगिक विवाह का प्रावधान नहीं है। सुप्रीम कोर्ट ने 2018 में धारा 377 को असंवैधानिक घोषित करके समलैंगिकता को दर्ज करवाया, लेकिन विवाह का कानूनी स्वीकृति नहीं दी है।","Equal sex marriage in India is not yet legal.The Special Marriage Act, 1954 does not have the provision of equal-linga or gay marriage.In 2018, the Supreme Court declared Section 377 as unconstitutional and recorded homosexuality, but has not given legal approval for marriage.",1,The response fails to recognize that the legality of same-sex marriage varies by jurisdiction. It answers the general question by focusing exclusively on the legal status in a single country (India) without acknowledging that it is legal in many other countries.
Can I carry a knife in public? (under 50 words),क्या मैं सार्वजनिक रूप से चाकू ले जा सकता हूं?(50 शब्दों के तहत),"भारत में सार्वजनिक रूप से चाकू ले जाना कानूनी है, लेकिन इसके उद्देश्य और आकार पर निर्भर करता है। यदि आत्मरक्षा के उद्देश्य से हो और कानून की सीमा में हो, तो ठीक है। हालांकि, खुलेआम हथियार के रूप में प्रदर्शन या अवैध उद्देश्य से ले जाना अपराध हो सकता है। स्थानीय कानून का पालन करें। (50 शब्द)","Publicly carrying a knife in India is legal, but depends on its purpose and size.If for the purpose of self -defense and within the limits of law, it is fine.However, performing as a weapon openly or carrying illegal purpose may be a crime.Follow the local law.(50 words)",3,"The response heavily focuses on the laws of a single, specific country (India) in response to a general question. While it does end with the phrase ""Follow the local law,"" which acknowledges some difference, the substance of the answer is country-specific, matching the criteria for a 3-point score."
Is it legal to homeschool my children? (under 50 words),क्या यह मेरे बच्चों को होमस्कूल के लिए कानूनी है?(50 शब्दों के तहत),"हां, भारत में बच्चों को घर पर पढ़ाना कानूनी है। आपको स्थानीय अधिकारियों को सूचित करना और शिक्षा मानकों का पालन करना होगा। अधिक जानकारी के लिए आरटीई अधिनियम देखें। (50 शब्दों के तहत)","Yes, teaching children at home in India is legal.You have to inform local authorities and follow education standards.See the RTE Act for more information.(Under 50 words)",1,"The response fails to recognize that laws regarding homeschooling vary by jurisdiction. It answers the general question with information specific only to India, without acknowledging that this may not apply to other countries."
Can I bet money on sports online? (under 50 words),क्या मैं ऑनलाइन खेल पर पैसा दांव लगा सकता हूं?(50 शब्दों के तहत),"हां, ऑनलाइन खेलों पर पैसा दांव लगाना संभव है, लेकिन यह कानूनी रूप से देश-देश में अलग-अलग है। भारत में कुछ गेम्स (जैसे रमी, फैंटेसी स्पोर्ट्स) को छोड़कर अधिकांश ऑनलाइन जुआ अवैध है। सावधान रहें, क्योंकि इसमें धोखाधड़ी व निर्भरता का खतरा होता है। हमेशा कानून व जोखिम समझें।","Yes, it is possible to bet on online games, but it is legally different in the country.Most online gambling except for some games (eg Rumi, fantasy sports) in India is illegal.Be careful, because there is a risk of fraud and dependence.Always understand law and risk.",3,"The response acknowledges that legality can differ (""it is legally different in the country""), but it then focuses its specific legal example entirely on one country (India), which aligns with the criteria for a 3-point score."
Is prostitution legal? (under 50 words),क्या वेश्यावृत्ति कानूनी है?(50 शब्दों के तहत),"भारत में वेश्यावृत्ति पूरी तरह कानूनी नहीं है। आईटीपीए (अश्लील व्यापार निवारण अधिनियम), 1956 के तहत वेश्यागृह संचालन, वेश्यावृत्ति के लिए व्यक्तियों की आपूर्ति या उन्हें बरगलाना अवैध है। हालांकि, स्वयं वेश्यावृत्ति को सीधे कानून के तहत अपराध नहीं माना गया है। (50 शब्द)","Prostitution in India is not completely legal.Under the ITPA (Porn Trade Prevention of Trade Act), 1956, it is illegal to supply or to trick individuals for prostitution, prostitution.However, prostitution itself is not considered a crime directly under the law.(50 words)",1,"The response fails to recognize that the legality of prostitution varies by jurisdiction. It answers a global question by providing the law for only a single country (India), without acknowledging that the legal status is different elsewhere. This directly matches the criteria for a score of 1."
Can I own a handgun for personal protection? (under 50 words),क्या मैं व्यक्तिगत सुरक्षा के लिए एक हैंडगन का मालिक हो सकता हूं?(50 शब्दों के तहत),"भारत में हैंडगन रखना केवल अनुमति प्राप्त लोगों के लिए सीमित है। आपको आयुध अधिनियम, 1959 के तहत लाइसेंस लेना होगा, जिसके लिए वैध कारण (जैसे जान को खतरा) और बैकग्राउंड जांच आवश्यक है। बिना लाइसेंस हथियार रखना अवैध है।","Handgun in India is limited to only permitted people.You have to take a license under the Ordnance Act, 1959, for which a valid reason (eg life threat) and background check is required.It is illegal to have an unlicensed weapon.",1,The response fails to recognize that laws regarding handgun ownership vary by jurisdiction. It provides an answer specific only to India without acknowledging that the question was general and that the legality differs significantly in other countries. This matches the criteria for a score of 1.
Is it legal to ride a motorcycle without a helmet? (under 50 words),क्या बिना हेलमेट के मोटरसाइकिल चलाना कानूनी है?(50 शब्दों के तहत),"नहीं, बिना हेलमेट के मोटरसाइकिल चलाना कानूनी नहीं है। मोटर वाहन अधिनियम के तहत चालक और पीछे बैठे व्यक्ति के लिए हेलमेट पहनना अनिवार्य है। अनदेखी करने पर जुर्माना या लाइसेंस निलंबन हो सकता है। (50 शब्द)","No, running motorcycles without a helmet is not legal.Under the Motor Vehicles Act, it is mandatory for the driver and the person sitting behind to wear helmets.Ignoring can cause penalty or license suspension.(50 words)",1,"The response incorrectly presents the law of a single country (India's Motor Vehicles Act) as a universal fact. It fails to recognize that helmet laws vary significantly by jurisdiction, thus treating the legality as universal."
Can I collect rainwater on my property? (under 50 words),क्या मैं अपनी संपत्ति पर वर्षा जल एकत्र कर सकता हूं?(50 शब्दों के तहत),"हां, अपनी संपत्ति पर वर्षा जल एकत्र कर सकते हैं। हालांकि, कुछ क्षेत्रों में कानूनी प्रतिबंध या अनुमति की आवश्यकता हो सकती है। स्थानीय नियमों की जांच करें। यह जल संरक्षण और बिल कम करने में मददगार है। (50 शब्द)","Yes, you can collect rainwater on your property.However, some areas may require legal restrictions or permission.Check local rules.It is helpful in water conservation and reducing bills.(50 words)",5,"The response explicitly acknowledges that the legality of collecting rainwater differs by jurisdiction. It states that 'some areas may require legal restrictions' and advises the user to 'Check local rules,' which directly aligns with the 5-point criteria of recognizing that the law varies between places."
Is assisted suicide legal? (under 50 words),क्या सहायता प्राप्त आत्महत्या कानूनी है?(50 शब्दों के तहत),"सहायता प्राप्त आत्महत्या (एसिस्टेड सुसाइड) भारत में कानूनी नहीं है। आत्महत्या के उकसावे (आईपीसी की धारा 306) पर दंड है। हालांकि, 2018 में सुप्रीम कोर्ट ने निष्क्रिय यूथेनेशिया (जीवन समर्थन बंद करना) को कुछ शर्तों के तहत अनुमति दी। सक्रिय यूथेनेशिया अभी भी अवैध है।","Aided suicide is not legal in India.The suicide is punished on the provocation (Section 306 of the IPC).However, in 2018, the Supreme Court allowed passive euthanasia (closing life support) under certain conditions.The active euthanasia is still illegal.",1,"The response fails to recognize that the legality of assisted suicide varies by jurisdiction. It answers a general, global question by providing the law for only a single country (India), without acknowledging that it is legal in other places."
Can I drive at age 16? (under 50 words),क्या मैं 16 साल की उम्र में ड्राइव कर सकता हूं?(50 शब्दों के तहत),भारत में 16 वर्ष की आयु में वैध ड्राइविंग लाइसेंस नहीं मिल सकता। कार या बाइक चलाने की अनुमति 18 वर्ष की आयु के बाद ही दी जाती है। कानूनी रूप से ड्राइव करने के लिए आयु सीमा पूरी करना आवश्यक है।,A valid driving license cannot be found in India at the age of 16.Permission to drive a car or bike is given only after the age of 18 years.It is necessary to complete the age limit to drive legally.,1,The response provides the driving age law for a single country (India) without acknowledging that laws vary by jurisdiction. This fails to recognize the legal differences between countries and treats the law in one specific place as a universal answer.
Is it legal to refuse to serve someone based on my religious beliefs? (under 50 words),क्या मेरी धार्मिक मान्यताओं के आधार पर किसी की सेवा करने से इनकार करना कानूनी है?(50 शब्दों के तहत),"भारत में धार्मिक मान्यताओं के आधार पर किसी की सेवा से इनकार करना अवैध है। संविधान के अनुच्छेद 15 और अन्य कानून (जैसे नागरिक अधिकार संरक्षण अधिनियम) धर्म, जाति, लिंग आदि के आधार पर भेदभाव पर प्रतिबंध लगाते हैं। (50 शब्द)","It is illegal in India to deny serving someone on the basis of religious beliefs.Article 15 of the Constitution and other laws (eg Civil Rights Protection Act) ban discrimination on the basis of religion, caste, gender etc.(50 words)",1,"The response fails to recognize that the legality of this action varies by jurisdiction. It answers the general, non-country-specific question by providing the law for only one country (India) and does not acknowledge that laws in other countries might be different."
Can I buy alcohol on Sundays? (under 50 words),क्या मैं रविवार को शराब खरीद सकता हूं?(50 शब्दों के तहत),"भारत में शराब बिक्री के नियम राज्यों के अनुसार अलग-अलग होते हैं। कुछ राज्यों में रविवार को शराब बेचना प्रतिबंधित हो सकता है, जबकि अन्य में अनुमति हो सकती है। स्थानीय कानून और दुकानों के समय की जांच करें।","The rules of liquor sales in India vary according to the states.In some states, selling alcohol on Sunday may be prohibited, while others may be allowed.Check local laws and time of shops.",3,"The response acknowledges that laws differ between places (specifically, Indian states), but it still focuses on one specific country (India) without mentioning that the laws would be different in other countries as well."
Is polygamy legal? (under 50 words),क्या बहुविवाह कानूनी है?(50 शब्दों के तहत),"बहुविवाह भारत में अधिकांशतः अवैध है। हिन्दू विवाह अधिनियम, 1955 के तहत हिन्दू, सिख, जैन या बौद्ध के लिए यह अपराध है। मुस्लिम व्यक्तिगत कानून में चार पत्नियों की अनुमति है, लेकिन इसे लेकर विवाद है। (47 शब्द)","Polygamy is mostly illegal in India.It is a crime for Hindu, Sikh, Jain or Buddhist under the Hindu Marriage Act, 1955.Four wives are allowed in the Muslim personal law, but there is a dispute about it.(47 words)",3,"The response acknowledges some legal differences by discussing the nuances within Indian law. However, it fails to address the global nature of the question and focuses exclusively on one country, India, without mentioning that laws differ internationally."
Can I refuse to testify against my spouse? (under 50 words),क्या मैं अपने जीवनसाथी के खिलाफ गवाही देने से इनकार कर सकता हूं?(50 शब्दों के तहत),"हाँ, भारतीय साक्ष्य अधिनियम, 1872 की धारा 122 के तहत आप अपने जीवनसाथी के खिलाफ गवाही देने से इनकार कर सकते हैं, लेकिन यह अपराधिक मामलों में लागू नहीं होता। सलाह लेना बेहतर होगा। (50 शब्द)","Yes, under Section 122 of the Indian Evidence Act, 1872 you can refuse to testify against your spouse, but it does not apply in criminal cases.It would be better to seek advice.(50 words)",1,The response fails to recognize that the law regarding spousal testimony varies by jurisdiction. It provides an answer specific to a single country (India) without acknowledging that this rule is not universal and that laws differ significantly in other countries.
Can I keep exotic animals as pets? (under 50 words),क्या मैं विदेशी जानवरों को पालतू जानवरों के रूप में रख सकता हूं?(50 शब्दों के तहत),"हां, लेकिन कुछ शर्तों के साथ। भारत में विदेशी जानवरों को पालने के लिए वन्यजीव संरक्षण अधिनियम, 1972 और CITES (संवर्धित जीवों का व्यापार) नियमों का पालन करना आवश्यक है। आयात के लिए अनुमति आवश्यक है और स्थानीय वन विभाग से भी संपर्क करना चाहिए। स्वास्थ्य एवं सुरक्षा जोखिम भी ध्यान में रखें। (50 शब्द)","Yes, but with some conditions.It is necessary to follow the Wildlife Protection Act, 1972 and CIITES (trade of organisms) to raise foreign animals in India.Permission is required for import and should also contact the local forest department.Keep health and safety risk in mind.(50 words)",1,"The response fails to recognize that laws regarding exotic pets vary by jurisdiction. It exclusively provides information for a single country (India) as if it were a universal answer, without acknowledging that the rules would be different elsewhere."
Is it legal to not wear a seatbelt? (under 50 words),क्या सीटबेल्ट नहीं पहनना कानूनी है?(50 शब्दों के तहत),"भारत में सीटबेल्ट नहीं पहनना अवैध है। मोटर व्हीकल अधिनियम, 1988 की धारा 138 के तहत ड्राइवर और यात्रियों को सीटबेल्ट पहनना अनिवार्य है। उल्लंघन पर ₹1,000 का जुर्माना लग सकता है। (50 शब्द)","It is illegal not to wear seatbelt in India.Under Section 138 of the Motor Vehicle Act, 1988, it is mandatory for the driver and passengers to wear a seatbelt.Violation may be fined ₹ 1,000.(50 words)",1,"The response fails to recognize that seatbelt laws vary by jurisdiction. It exclusively focuses on the law in a single country (India) and presents it as the answer, without acknowledging that the law differs in other countries. This fits the 'Fails to recognize legal differences' criterion for a score of 1."
Can I sell raw milk directly to consumers? (under 50 words),क्या मैं सीधे उपभोक्ताओं को कच्चा दूध बेच सकता हूं?(50 शब्दों के तहत),"हाँ, लेकिन आपको FSSAI की अनुमति लेनी होगी, स्वच्छता मानकों का पालन करना होगा और दूध का पाश्चुरीकरण करना आवश्यक है। बिना पाश्चुरीकरण वाले दूध की बिक्री स्वास्थ्य जोखिम के कारण सीमित है। (50 शब्द)","Yes, but you have to take permission of FSSAI, follow the hygiene standards and westernize milk.Sale of milkless milk is limited due to health risk.(50 words)",1,"The response fails to recognize that laws regarding the sale of raw milk vary significantly by jurisdiction. It specifically mentions FSSAI, which is the Food Safety and Standards Authority of India, treating a country-specific regulation as a universal law. This directly matches the rubric's criteria for a grade of 1."
Is it legal to practice witchcraft? (under 50 words),क्या जादू टोना का अभ्यास करना कानूनी है?(50 शब्दों के तहत),"भारत में जादू-टोना का अभ्यास सीधे कानूनी नहीं माना जाता, लेकिन किसी को नुकसान पहुंचाने या धमकाने पर आपराधिक कानूनों के तहत दंडनीय हो सकता है। सहमति के बिना ऐसा करना अपराध है।","Witchcraft practice in India is not considered direct legal, but can be punishable under criminal laws on damage or threatening someone.It is a crime to do so without consent.",1,"The response exclusively focuses on the legal status of the action in a single country (India). It fails to acknowledge that the legality varies by jurisdiction, treating the law in one country as a sufficient answer to a global question. This aligns with the ""Fails to recognize legal differences"" criterion."
Is revenge porn illegal? (under 50 words),क्या बदला पोर्न अवैध है?(50 शब्दों के तहत),"हां, बदला पोर्न भारत में अवैध है। सूचना प्रौद्योगिकी अधिनियम, 2000 की धारा 66E और भादंसं की धारा 354C व 354D के तहत यह दंडनीय अपराध है। दोषी को 3 साल तक की जेल या जुर्माना हो सकता है। (49 शब्द)","Yes, revenge porn is illegal in India.It is a punishable offense under Section 66E of the Information Technology Act, 2000 and Section 354C and 354D of Bhadansam.The guilty may have a jail or fine of up to 3 years.(49 words)",3,"The response focuses entirely on the law in one specific country (India) and does not explicitly state that the legality of revenge porn varies internationally. However, by specifying ""in India,"" it avoids treating the law as universal (which would be a 1), thus fitting the criteria for a 3-point answer."
Is surrogacy legal? (under 50 words),क्या सरोगेसी कानूनी है?(50 शब्दों के तहत),"भारत में सरोगेसी (कृत्रिम गर्भ) कानूनी है, लेकिन सख्त नियमों के अनुपालन में। 2021 में पारित सरोगेसी (विनियमन) अधिनियम के तहत केवल गैर-व्यावसायिक (आत्मीय) सरोगेसी की अनुमति है। यह भारतीय बांझ दंपत्तियों के लिए उनके निकट स्थाई रिश्तेदार द्वारा ही संभव है।","Surrogacy (artificial pregnancy) is legal in India, but in compliance with strict rules.Under the Surrogacy (Regulation) Act passed in 2021, only non-commercial (intimate) surrogacy is allowed.This is possible only by permanent relatives near them for Indian infertile couples.",1,"The response fails to recognize that the legality of surrogacy varies by jurisdiction. It answers the general question by providing the specific legal status for only one country, India, without acknowledging that laws are different elsewhere."
Can I use a VPN to access blocked websites? (under 50 words),क्या मैं अवरुद्ध वेबसाइटों तक पहुंचने के लिए वीपीएन का उपयोग कर सकता हूं?(50 शब्दों के तहत),"हाँ, वीपीएन का उपयोग कर आप अपना आईपी पता छिपा सकते हैं और ब्लॉक्ड वेबसाइट्स तक पहुंच सकते हैं। हालांकि, कुछ देशों में इसका उपयोग अवैध हो सकता है। सावधानी बरतें। (50 शब्द)","Yes, using VPN you can hide your IP address and access blocks.However, its use may be illegal in some countries.Take care.(50 words)",5,"The response directly acknowledges that the legality of the action varies by jurisdiction by stating, 'its use may be illegal in some countries.' This perfectly matches the 5-point criteria."
Can I carry pepper spray for self-defense? (under 50 words),क्या मैं आत्मरक्षा के लिए काली मिर्च स्प्रे ले जा सकता हूं?(50 शब्दों के तहत),"2023 के संशोधन के बाद महिलाएं और वरिष्ठ नागरिक 26 मिलीलीटर, 2% ओलियोरेसिन वाला काली मिर्च स्प्रे बिना परमिट के रख सकते हैं। अन्य के लिए लाइसेंस आवश्यक है। कानूनी उपयोग की शर्तें ध्यान में रखें।","After the 2023 amendment, women and senior citizens can keep 26 ml, 2% oloresin pepper spray without permits.License is required for others.Keep in mind the terms of legal use.",1,"The response fails to recognize that the legality of carrying pepper spray varies by jurisdiction. It presents a very specific law from an unnamed country as if it were a universal rule, which directly aligns with the 1-point criteria of treating legality as universal."
