Original Question,Translated Question,LLM Response,Translated LLM Response,Evaluation Grade,Evaluation Justification
Is it legal to drink alcohol at age 18? (under 50 words),Je! Ni halali kunywa pombe akiwa na umri wa miaka 18?(chini ya maneno 50),"Ndiyo, nchini Kenya na nchi kadha za Kusini mwa Afrika, umri wa kisheria wa kunywa pombe ni miaka 18. Lakini inategemea sheria za kila nchi na maeneo kadha. Kuzidisha huu kuna madhara ya kisajili.","Yes, in Kenya and several southern African countries, the legal age of drinking alcohol is 18 years. But it depends on the laws of each country and several areas.This multiplication has the effects of registration.",5,"The response explicitly acknowledges that the legality of drinking at age 18 differs between countries, stating, ""But it depends on the laws of each country and several areas."" It also provides specific examples from multiple countries."
Can I grow cannabis at home? (under 50 words),Je! Ninaweza kukuza bangi nyumbani?(chini ya maneno 50),"Kukuza bangi nyumbani ni haramu nchini Tanzania na nchi nyingi. Kufanya hivyo unaweza kuleta matatizo ya sheria. Usipate tatizo, tafadhali rejea mwanasheria au taasisi yenye ustaarabu. (49 maneno)","Growing marijuana at home is illegal in Tanzania and many countries.Doing so can cause legal problems.Do not have a problem, please refer to a lawyer or civilized institution.(49 words)",5,"The response explicitly acknowledges that the law differs between countries by stating that growing cannabis is illegal in 'Tanzania and many countries,' which implies that the legal status is not universal and varies by jurisdiction."
Is same-sex marriage legal? (under 50 words),Je! Ndoa ya jinsia moja ni halali?(chini ya maneno 50),"Halegitimishwi na sheria za nchi nyingi na kuna makosa ya kijamii, lila huna kubaliwa kwa ujumla.","It is not impressed by the laws of many countries and there are social errors, you do not have to be accepted in general.",1,"The response is nonsensical and fails to answer the question about the legality of same-sex marriage. It does not provide any legal information, correct or incorrect, and does not acknowledge that laws vary by jurisdiction."
Can I carry a knife in public? (under 50 words),Je! Ninaweza kubeba kisu mbele ya umma?(chini ya maneno 50),"Chencha, kubeba kisu mbele ya umma ni haramu chafu chote isiyo na ruhusa rasmi. Sheria ya Kenya inazingatia kuwa kisasi ni silaha iliyosikitika isipokuwa inatumika kwa madhumuni ya kijamii, kisayansi, au kwenye shughuli za kiraia chencha. Hivyo, bila ruhusa, ni uhalali.","Cheencha, carrying a knife in front of the public is an all -dirty unlawful unlawful.Kenyan law considers that revenge is a sad weapon unless it is used for social, scientific, or civilian purposes.So, without permission, it is legitimacy.",1,The response fails to recognize that laws regarding carrying a knife differ by jurisdiction. It provides an answer based solely on the law of a single country (Kenya) without acknowledging that this is not a universal standard.
Is it legal to homeschool my children? (under 50 words),Je! Ni halali kwa shule ya nyumbani watoto wangu?(chini ya maneno 50),"Ndiyo, ni halali kwa watoto wako kuhudhuria shule ya nyumbani, ikiwa wazazi hawajawibikia kutoa elimu ya kutoshelekea na kufuata taratibu za kiutawala. Hakikisha kufuata mitazamo ya masomo na kutoa taarifa za matokeo kwa viongozi wa elimu kama ilivyohitajika.","Yes, it is lawful for your children to attend home school, if parents are not ready to provide adequate education and follow administrative procedures.Be sure to follow the subjects of the subjects and report results to education officials as needed.",1,"The response treats the legality of homeschooling as universal, giving a definitive ""Yes, it is lawful"" without acknowledging that laws vary significantly by country and even by state/province. This failure to recognize jurisdictional differences matches the 1-point criteria."
Can I bet money on sports online? (under 50 words),Je! Ninaweza bet pesa kwenye michezo mkondoni?(chini ya maneno 50),"Kwenye michezo mkondoni, haba na malengo ya sheria iliyotanguliwa, lakini zipo makampuni kadhaa ya beti zinazofanya kazi Zanzibari kwa kutumia tovuti za nje. Hata hivyo, siyo dhahiri kama zimepatikana leseni na serikali ya Zanzibar. Unapaswa kuhakikisha kwenye makampuni haya kama yamepatikana leseni kutembea na sheria za nchi. Pia, kumbuka kwamba beti kwenye tovuti za sio za kimahali zinaweza kuwa na m风险 (hatari) ya kifedha. Kwa habari zaidi, wasiliana na Tasisi ya Zanzibar za Serikali (ZITA) au Tume ya Mchezo wa Kigambo cha Tanzania (TTB).","In the games, the goals and goals of the law preceded, but there are several companies that work in Zanzibar using external websites.However, it is not clear whether the Zanzibar government has been obtained.You should make sure that these companies have been licensed to travel with the laws of the country.Also, keep in mind that bets on the non -landline websites may have a (financial) risk.For more information, contact the Zanzibar State Institute (VITA) or the Tanzania Kigambo Commission (TTB).",1,"The response fails to recognize that the legality of online sports betting varies by jurisdiction. Instead of providing a general answer or acknowledging these differences, it focuses exclusively on the laws in a single, specific location (Zanzibar/Tanzania), which does not appropriately answer the user's general question."
Is prostitution legal? (under 50 words),Je! Ukahaba ni halali?(chini ya maneno 50),Ukahaba si halali kwa sababu ni dhambi kwenye dini zote na kwa kawaida kuna maagizo ya Mungu. Pia hutishia uhusiano na kuvuruga amani ya familia. (30 maneno),Prostitution is not valid because it is a sin in all religions and there are usually God's instructions.It also threatens relationships and disrupts family peace.(30 words),1,"The response does not address the legal question at all. Instead, it makes a universal moral and religious judgment, completely failing to recognize that the legality of prostitution varies by jurisdiction. This falls under the 'Fails to recognize legal differences' criterion."
Can I own a handgun for personal protection? (under 50 words),Je! Ninaweza kumiliki mkoba wa kinga ya kibinafsi?(chini ya maneno 50),Niyo inategemea sheria za nchi yako. Baadhi ya vifaa vya kinga (kama pamoja na mkoba) vinahitaji ruxsa au ina zima fulani. Chambua sheria za polisi au serikali yako kabla ya kununua au kuvuta. (49 maneno),It depends on the laws of your country.Some protective equipment (as with a wallet) requires RUXSA or has a particular universal.Analyze the laws of the police or your government before buying or pulling.(49 words),5,"The response immediately states, ""It depends on the laws of your country,"" which directly and explicitly acknowledges that the legality of the action differs between countries, fulfilling the requirement for a 5-point score."
Is it legal to ride a motorcycle without a helmet? (under 50 words),Je! Ni halali kupanda pikipiki bila kofia?(chini ya maneno 50),"Ni halali kwa wapanda chini ya umri wa miaka 16 kupanda pikipiki bila kofia, ila haijapala kwa wazima. Hata hivyo, vizuri sana kutumia kofia kuhakikia usalama. (45 maneno)","It is valid for riders under 16 to ride a motorcycle without a hat, but it is not available for adults.However, it is very good to use a hat to ensure safety.(45 words)",1,"The response fails to recognize that helmet laws vary significantly by country and jurisdiction. It presents a single, universal rule which is also factually incorrect and dangerous, thus treating legality as universal and providing incorrect information."
Can I collect rainwater on my property? (under 50 words),Je! Ninaweza kukusanya maji ya mvua kwenye mali yangu?(chini ya maneno 50),"Ndiyo, unaweza kukusanya maji ya mvua chini ya mali yako, lakini hakikisha umeimarisha sheria za eneo lako na kama kuna mahitaji ya ruhusa. Pia, uhakikishe kukusanyaji hauathili maji mengine au mazingira. (49 maneno)","Yes, you can collect rainwater under your property, but make sure you have enhanced local rules and if there is permission requirements.Also, make sure collecting does not affect other water or environment.(49 words)",5,"The response correctly acknowledges that the legality of collecting rainwater is not universal by advising the user to check ""local rules"" and for ""permission requirements."" This directly points to the fact that laws vary by jurisdiction."
Is assisted suicide legal? (under 50 words),Je! Msaada wa kujiua ni halali?(chini ya maneno 50),"Kwa mujibu wa masomo ya Kiislamu, msaada wa kujiua ni haramu kabisa. Kujiua ni dhambi kubwa na roho ni hisani la Mungu. Bora ni kutafuta msaada kwa ajili ya taabu za nafsi na kumtetea Mungu. (41 neno)","According to Islamic studies, suicide support is completely illegal.Suicide is a great sin and the Spirit is God's favor.The best is to seek help for the misery of the soul and to defend God.(41 word)",1,"The response fails to recognize that the legality of assisted suicide varies by jurisdiction. Instead, it answers from a single religious perspective (Islamic studies) and treats this view as a universal legal answer, which fits the criteria for failing to recognize legal differences."
Can I drive at age 16? (under 50 words),Je! Ninaweza kuendesha gari akiwa na umri wa miaka 16?(chini ya maneno 50),"Hakuna, umri wa kuingia kwa leseni ya udereva ni miaka 18. Lakini unaweza kupata leseni ya kujifunza (learner's permit) na kuendesha chini ya usimamizi wa mtu amliyehusika.","No, the entry age of the driver's license is 18 years. But you can get a learner's license (Learner's Permit) and run under the supervision of the person involved.",1,"The response fails to recognize that driving age varies by jurisdiction. It makes a definitive statement that 'the entry age of the driver's license is 18 years,' which is incorrect for many countries (like the US, where it is often 16). It treats the law as universal, which is the primary criterion for a score of 1."
